date,revenue,new_users,active_users,refunds,conversion_rate
2024-01-01,10000,150,1200,5,0.023
2024-01-02,10250,160,1220,4,0.024
2024-01-03,9850,140,1180,6,0.021
2024-01-04,11000,180,1250,3,0.026
2024-01-05,10500,155,1210,5,0.024
2024-01-06,11500,190,1300,4,0.027
2024-01-07,9800,145,1170,8,0.020
2024-01-08,10700,165,1235,5,0.025
2024-01-09,10300,158,1215,4,0.023
2024-01-10,12500,200,1350,3,0.029
2024-01-11,9500,130,1150,7,0.019
2024-01-12,9900,145,1185,6,0.021
2024-01-13,11200,175,1270,3,0.026
2024-01-14,10100,150,1190,5,0.022
2024-01-15,10800,165,1225,4,0.025
2024-01-16,12800,210,1380,2,0.030
2024-01-17,9700,140,1175,7,0.020
2024-01-18,10400,160,1220,5,0.024
2024-01-19,10900,175,1255,4,0.025
2024-01-20,13000,220,1400,2,0.031